Test #,Base Angle (deg),Shoulder Angle (deg),Elbow Angle (deg),X Predicted,Y Predicted,Z Predicted,X Real,Y Real,Z Real,Error X,Error Y,Error Z,Total Error
1,90,50,40,8.265471781709087e-16,13.498539803417328,40.08693330549853,-1.0,0.0,26.0,-1.0000000000000009,-13.498539803417328,-14.086933305498533,19.535922470618218
2,60,90,45,-8.485281374238571,-14.696938456699067,37.97056274847714,12.0,31.0,14.0,20.48528137423857,45.696938456699066,-23.970562748477143,55.519769594044135
3,120,50,60,-2.645028181800637,4.581323198330235,38.63955620436034,-19.0,6.0,22.0,-16.354971818199363,1.4186768016697648,-16.63955620436034,23.374613958732198
4,90,90,0,1.68722975549459e-31,2.7554552980815448e-15,45.0,3.0,8.0,12.0,3.0,7.999999999999997,-33.0,34.08812109811862
5,0,50,45,11.406801977473535,0.0,39.995606059700435,31.0,-2.0,-8.0,19.593198022526465,-2.0,-47.995606059700435,51.879394847934456
