Test #,Base Angle (deg),Shoulder Angle (deg),Elbow Angle (deg),X Predicted,Y Predicted,Z Predicted,X Real,Y Real,Z Real,Error X,Error Y,Error Z,Total Error
1,90,50,40,1.5750712582142908e-15,25.72286571623617,-8.816889298964941,3.0,26.0,-10.7,2.9999999999999982,0.27713428376382865,-1.8831107010350578,3.552873389749489
2,60,90,45,13.581769361072478,23.524314590059813,9.038232384882738,15.0,17.0,21.3,1.4182306389275219,-6.524314590059813,12.261767615117263,13.961697750001559
3,120,50,60,-14.181401713911667,24.562908291039378,-16.070058550317416,-22.0,28.0,-2.6999999999999993,-7.818598286088333,3.4370917089606223,13.370058550317417,15.865136123397905
4,90,90,0,6.226992299610845e-16,10.169450169544916,9.78021031496001,-1.0,21.0,0.0,-1.0000000000000007,10.830549830455084,-9.78021031496001,14.627143379170823
5,0,50,45,26.618141684016567,0.0,-10.536698431777898,35.0,6.0,-10.7,8.381858315983433,6.0,-0.16330156822210107,10.309326662367646
